metric,value
accuracy,0.54
precision,0.0
recall,0.0
f1_score,0.0
true_positive_rate,0.0
false_positive_rate,0.0
true_positives,0
true_negatives,27
false_positives,0
false_negatives,23
total_spikes,1857911
total_synops,42215906
total_energy_joules,0.0010553976500000002
avg_spikes_per_sample,37158.22
avg_synops_per_sample,844318.12
avg_energy_per_sample,2.1107953000000003e-05
avg_processing_time,0.0667091417312622
samples_processed,50
predictions,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
true_labels,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
